연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1318,일요일,4,424,명동,상선,6.6,7,11.6,21.9,28.2,33.4,36,40.7,37.95,36,40.4,41.1,43.85,41.95,40.35,41.6,36.7,30.95,12.7,
1319,일요일,4,425,회현,상선,7.2,7.8,11.9,22.45,28.9,35.2,38.75,43.2,38.75,35.55,38.5,38.25,39.75,37.4,35.75,35.6,28.6,22.5,10.75,
1320,일요일,4,426,서울역,상선,7.3,7.8,13.4,23.6,31.8,37.65,41.7,42.15,36.3,34.85,35.9,35.15,39.9,35.15,33.85,32.75,28.1,22.1,10.9,
1321,일요일,4,427,숙대입구,상선,7.75,6.35,10.95,18.7,24.25,26.3,29.65,28.9,25.5,26.15,24.5,25.1,28.6,24.9,23.6,21.95,17.65,13.4,6.05,
1322,일요일,4,428,삼각지,상선,7.2,6.2,11.05,19.35,23.25,29.4,25.55,28.7,25.5,24.7,24.3,24.95,28.15,24.6,22.05,20.8,16.6,12.75,6.75,
1323,일요일,4,429,신용산,상선,6.6,6.15,11.3,19.55,24.55,31.65,28.1,30.6,28,26.6,25.65,27.3,30.45,27.2,22.35,21.75,16.95,13.35,6.9,
1324,일요일,4,430,이촌,상선,6.1,7.05,12.3,20.4,25.35,33.3,28.9,31.25,28.95,26.5,25.05,26.75,28.85,26.4,19,16.75,13.15,11.35,5.8,
1325,일요일,4,431,동작,상선,6.8,7.6,13.4,21.5,28.9,34.65,31.25,32.7,29.6,29.85,25.95,28.2,30.65,28.3,21.3,18.5,14.8,12.9,6.95,
1326,일요일,4,432,총신대입구,상선,7.5,8.35,16.35,23.85,32.3,35,32.75,36.15,32.95,30.75,26.9,29.25,32.65,27.85,21.15,19.2,13.75,12.75,6.65,
1327,일요일,4,433,사당,상선,7.85,8.3,16.75,24.35,32.55,37.05,33.8,37.65,34.55,31.05,28.9,32.8,40.7,30.6,22.95,21.75,15.1,13.3,7.35,
